mean_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,keras_info/batch,keras_info/size,keras_info/loss,keras_info/accuracy,keras_info/neg_loss
0.046875,4.708094596862793,False,,,1,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-20,1573094360,4.708094596862793,6873,miuser-M83,192.168.3.90,4.708094596862793,0,1,c9640c04,0,128,2.301255702972412,0.046875,-2.301255702972412
0.10546875,0.31717848777770996,False,,,2,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-21,1573094361,5.025273084640503,6873,miuser-M83,192.168.3.90,5.025273084640503,0,2,c9640c04,1,128,2.2920665740966797,0.10546875,-2.2920665740966797
0.0911458358168602,0.17638754844665527,False,,,3,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-21,1573094361,5.201660633087158,6873,miuser-M83,192.168.3.90,5.201660633087158,0,3,c9640c04,2,128,2.273892402648926,0.0911458358168602,-2.273892402648926
0.1015625,0.17276310920715332,False,,,4,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-21,1573094361,5.3744237422943115,6873,miuser-M83,192.168.3.90,5.3744237422943115,0,4,c9640c04,3,128,2.273054599761963,0.1015625,-2.273054599761963
0.12031249701976776,0.17314600944519043,False,,,5,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-21,1573094361,5.547569751739502,6873,miuser-M83,192.168.3.90,5.547569751739502,0,5,c9640c04,4,128,2.2381234169006348,0.12031249701976776,-2.2381234169006348
0.1510416716337204,0.1782989501953125,False,,,6,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-21,1573094361,5.7258687019348145,6873,miuser-M83,192.168.3.90,5.7258687019348145,0,6,c9640c04,5,128,2.1988911628723145,0.1510416716337204,-2.1988911628723145
0.1629464328289032,0.1867811679840088,False,,,7,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-21,1573094361,5.912649869918823,6873,miuser-M83,192.168.3.90,5.912649869918823,0,7,c9640c04,6,128,2.1456894874572754,0.1629464328289032,-2.1456894874572754
0.1748046875,0.20377779006958008,False,,,8,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-22,1573094362,6.116427659988403,6873,miuser-M83,192.168.3.90,6.116427659988403,0,8,c9640c04,7,128,2.1330056190490723,0.1748046875,-2.1330056190490723
0.1935763955116272,0.1720261573791504,False,,,9,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-22,1573094362,6.288453817367554,6873,miuser-M83,192.168.3.90,6.288453817367554,0,9,c9640c04,8,128,2.0479280948638916,0.1935763955116272,-2.0479280948638916
0.20859375596046448,0.17720389366149902,False,,,10,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-22,1573094362,6.465657711029053,6873,miuser-M83,192.168.3.90,6.465657711029053,0,10,c9640c04,9,128,1.9946630001068115,0.20859375596046448,-1.9946630001068115
0.22372159361839294,0.17604804039001465,False,,,11,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-22,1573094362,6.641705751419067,6873,miuser-M83,192.168.3.90,6.641705751419067,0,11,c9640c04,10,128,1.8744910955429077,0.22372159361839294,-1.8744910955429077
0.2454427033662796,0.17293286323547363,False,,,12,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-22,1573094362,6.814638614654541,6873,miuser-M83,192.168.3.90,6.814638614654541,0,12,c9640c04,11,128,1.6927077770233154,0.2454427033662796,-1.6927077770233154
0.2680288553237915,0.17299795150756836,False,,,13,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-23,1573094363,6.987636566162109,6873,miuser-M83,192.168.3.90,6.987636566162109,0,13,c9640c04,12,128,1.4224717617034912,0.2680288553237915,-1.4224717617034912
0.2857142984867096,0.1683216094970703,False,,,14,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-23,1573094363,7.15595817565918,6873,miuser-M83,192.168.3.90,7.15595817565918,0,14,c9640c04,13,128,1.429330587387085,0.2857142984867096,-1.429330587387085
0.3031249940395355,0.17986607551574707,False,,,15,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-23,1573094363,7.335824251174927,6873,miuser-M83,192.168.3.90,7.335824251174927,0,15,c9640c04,14,128,1.4174003601074219,0.3031249940395355,-1.4174003601074219
0.31201171875,0.17943239212036133,False,,,16,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-23,1573094363,7.515256643295288,6873,miuser-M83,192.168.3.90,7.515256643295288,0,16,c9640c04,15,128,1.4802427291870117,0.31201171875,-1.4802427291870117
0.32306984066963196,0.17977643013000488,False,,,17,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-23,1573094363,7.695033073425293,6873,miuser-M83,192.168.3.90,7.695033073425293,0,17,c9640c04,16,128,1.3889203071594238,0.32306984066963196,-1.3889203071594238
0.3402777910232544,0.18392467498779297,False,,,18,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-23,1573094363,7.878957748413086,6873,miuser-M83,192.168.3.90,7.878957748413086,0,18,c9640c04,17,128,1.1164510250091553,0.3402777910232544,-1.1164510250091553
0.35238486528396606,0.17154431343078613,False,,,19,1c975a0c01d24b99a0790a45cfe7581a,2019-11-07_10-39-24,1573094364,8.050502061843872,6873,miuser-M83,192.168.3.90,8.050502061843872,0,19,c9640c04,18,128,1.3302556276321411,0.35238486528396606,-1.3302556276321411
